Dimension,Time,Rank,Inlcuded,Actual Time
Conifer,2,,0,2
Cumulus,2,,0,2
Deciduous,2,,1,2
Framed,2,,0,2
Grass,2,,1,2
Lake,2,,1,2
Mountains,2,,0,2
Mountain,2,,0,2
River,2,,0,2
Rocks,2,,0,2
Snow,2,,0,2
Trees,2,,1,2
Tree,2,,1,2
Winter,2,,0,2
Bushes,2,,1,2
Cabin,2,,0,2
Clouds,2,,1,2
Conifer,2,,0,2
Cumulus,2,,1,2
Deciduous,2,,1,2
Framed,2,,0,2
Grass,2,,1,2
Lake,2,,0,2
Mountains,2,,0,2
Mountain,2,,0,2
River,2,,1,2
Rocks,2,,0,2
Snow,2,,0,2
Trees,2,,1,2
Tree,2,,1,2
Winter,2,,0,2
Bushes,2,,0,2
Cabin,2,,0,2
Clouds,2,,1,2
Conifer,2,,1,2
Cumulus,2,,1,2
Deciduous,2,,0,2
Framed,2,,0,2
Grass,2,,1,2
Lake,2,,1,2
Mountains,2,,1,2
Mountain,2,,1,2
River,2,,0,2
Rocks,2,,0,2
Snow,2,,0,2
Trees,2,,1,2
Tree,2,,1,2
Winter,2,,0,2
Bushes,2,,1,2
Cabin,2,,0,2
Clouds,2,,1,2
Conifer,2,,1,2
Cumulus,2,,0,2
Deciduous,2,,0,2
Framed,2,,0,2
Grass,2,,0,2
Lake,2,,1,2
Mountains,2,,0,2
Mountain,2,,1,2
River,2,,0,2
Rocks,2,,0,2
Snow,2,,0,2
Trees,2,,1,2
Tree,2,,1,2
Winter,2,,0,2
Bushes,2,,0,2
Cabin,2,,0,2
Clouds,2,,0,2
Conifer,2,,0,2
Cumulus,2,,1,2
Deciduous,2,,1,2
Framed,2,,0,2
Grass,2,,0,2
Lake,2,,0,2
Mountains,2,,0,2
Mountain,2,,0,2
River,2,,0,2
Rocks,2,,1,2
Snow,2,,0,2
Trees,2,,1,2
Tree,2,,1,2
Winter,2,,0,2
Bushes,2,,0,2
Cabin,2,,0,2
Clouds,2,,0,2
Conifer,2,,0,2
Cumulus,2,,0,2
Deciduous,2,,1,2
Framed,2,,0,2
Grass,2,,1,2
Lake,2,,0,2
Mountains,2,,0,2
Mountain,2,,0,2
River,2,,1,2
Rocks,2,,0,2
Snow,2,,0,2
Trees,2,,1,2
Tree,2,,1,2
Winter,2,,0,2
Bushes,2,,1,2
Cabin,2,,0,2
Clouds,2,,1,2
Conifer,2,,1,2
Cumulus,2,,1,2
Deciduous,2,,1,2
Framed,2,,0,2
Grass,2,,1,2
Lake,2,,0,2
Mountains,2,,0,2
Mountain,2,,0,2
River,2,,1,2
Rocks,2,,1,2
Snow,2,,0,2
Trees,2,,1,2
Tree,2,,1,2
Winter,2,,0,2
Bushes,2,,0,2
Cabin,2,,0,2
Clouds,2,,0,2
Conifer,2,,0,2
Cumulus,2,,0,2
Deciduous,2,,1,2
Framed,2,,0,2
Grass,2,,1,2
Lake,2,,1,2
Mountains,2,,1,2
Mountain,2,,1,2
River,2,,0,2
Rocks,2,,0,2
Snow,2,,0,2
Trees,2,,1,2
Tree,2,,1,2
Winter,2,,0,2
Bushes,2,,1,2
Cabin,2,,0,2
Clouds,2,,1,2
Conifer,2,,1,2
Cumulus,2,,1,2
Deciduous,2,,0,2
Framed,2,,0,2
Grass,2,,0,2
Lake,2,,1,2
Mountains,2,,1,2
Mountain,2,,1,2
River,2,,0,2
Rocks,2,,0,2
Snow,2,,0,2
Trees,2,,1,2
Tree,2,,1,2
Winter,2,,0,2
Bushes,3,,1,3
Cabin,3,,1,3
Clouds,3,,0,3
Conifer,3,,1,3
Cumulus,3,,0,3
Deciduous,3,,1,3
Framed,3,,0,3
Grass,3,,0,3
Lake,3,,1,3
Mountains,3,,1,3
Mountain,3,,1,3
River,3,,0,3
Rocks,3,,0,3
Snow,3,,0,3
Trees,3,,1,3
Tree,3,,1,3
Winter,3,,0,3
Bushes,3,,0,3
Cabin,3,,0,3
Clouds,3,,1,3
Conifer,3,,0,3
Cumulus,3,,1,3
Deciduous,3,,0,3
Framed,3,,0,3
Grass,3,,0,3
Lake,3,,0,3
Mountains,3,,0,3
Mountain,3,,0,3
River,3,,0,3
Rocks,3,,0,3
Snow,3,,0,3
Trees,3,,1,3
Tree,3,,1,3
Winter,3,,0,3
Bushes,3,,0,3
Cabin,3,,0,3
Clouds,3,,0,3
Conifer,3,,0,3
Cumulus,3,,0,3
Deciduous,3,,1,3
Framed,3,,0,3
Grass,3,,1,3
Lake,3,,0,3
Mountains,3,,0,3
Mountain,3,,0,3
River,3,,1,3
Rocks,3,,1,3
Snow,3,,0,3
Trees,3,,1,3
Tree,3,,1,3
Winter,3,,0,3
Bushes,3,,0,3
Cabin,3,,1,3
Clouds,3,,0,3
Conifer,3,,1,3
Cumulus,3,,0,3
Deciduous,3,,0,3
Framed,3,,0,3
Grass,3,,0,3
Lake,3,,0,3
Mountains,3,,0,3
Mountain,3,,0,3
River,3,,0,3
Rocks,3,,0,3
Snow,3,,1,3
Trees,3,,1,3
Tree,3,,1,3
Winter,3,,1,3
Bushes,3,,0,3
Cabin,3,,0,3
Clouds,3,,1,3
Conifer,3,,1,3
Cumulus,3,,0,3
Deciduous,3,,1,3
Framed,3,,0,3
Grass,3,,0,3
Lake,3,,1,3
Mountains,3,,1,3
Mountain,3,,1,3
River,3,,0,3
Rocks,3,,0,3
Snow,3,,0,3
Trees,3,,1,3
Tree,3,,1,3
Winter,3,,0,3
Bushes,3,,0,3
Cabin,3,,0,3
Clouds,3,,0,3
Conifer,3,,0,3
Cumulus,3,,0,3
Deciduous,3,,1,3
Framed,3,,0,3
Grass,3,,0,3
Lake,3,,0,3
Mountains,3,,0,3
Mountain,3,,0,3
River,3,,0,3
Rocks,3,,0,3
Snow,3,,0,3
Trees,3,,1,3
Tree,3,,1,3
Winter,3,,0,3
Bushes,3,,0,3
Cabin,3,,0,3
Clouds,3,,0,3
Conifer,3,,0,3
Cumulus,3,,0,3
Deciduous,3,,1,3
Framed,3,,0,3
Grass,3,,0,3
Lake,3,,1,3
Mountains,3,,1,3
Mountain,3,,1,3
River,3,,0,3
Rocks,3,,0,3
Snow,3,,0,3
Trees,3,,1,3
Tree,3,,1,3
Winter,3,,0,3
Bushes,3,,0,3
Cabin,3,,0,3
Clouds,3,,1,3
Conifer,3,,0,3
Cumulus,3,,1,3
Deciduous,3,,0,3
Framed,3,,0,3
Grass,3,,0,3
Lake,3,,0,3
Mountains,3,,0,3
Mountain,3,,0,3
River,3,,0,3
Rocks,3,,0,3
Snow,3,,0,3
Trees,3,,0,3
Tree,3,,0,3
Winter,3,,0,3
Bushes,3,,1,3
Cabin,3,,1,3
Clouds,3,,1,3
Conifer,3,,0,3
Cumulus,3,,1,3
Deciduous,3,,1,3
Framed,3,,0,3
Grass,3,,0,3
Lake,3,,0,3
Mountains,3,,0,3
Mountain,3,,0,3
River,3,,1,3
Rocks,3,,0,3
Snow,3,,0,3
Trees,3,,1,3
Tree,3,,1,3
Winter,3,,0,3
Bushes,3,,1,3
Cabin,3,,0,3
Clouds,3,,0,3
Conifer,3,,0,3
Cumulus,3,,0,3
Deciduous,3,,1,3
Framed,3,,0,3
Grass,3,,0,3
Lake,3,,1,3
Mountains,3,,0,3
Mountain,3,,0,3
River,3,,0,3
Rocks,3,,0,3
Snow,3,,0,3
Trees,3,,1,3
Tree,3,,1,3
Winter,3,,0,3
Bushes,3,,0,3
Cabin,3,,0,3
Clouds,3,,0,3
Conifer,3,,0,3
Cumulus,3,,0,3
Deciduous,3,,1,3
Framed,3,,0,3
Grass,3,,0,3
Lake,3,,1,3
Mountains,3,,0,3
Mountain,3,,0,3
River,3,,0,3
Rocks,3,,0,3
Snow,3,,0,3
Trees,3,,1,3
Tree,3,,1,3
Winter,3,,0,3
Bushes,3,,1,3
Cabin,3,,0,3
Clouds,3,,0,3
Conifer,3,,1,3
Cumulus,3,,0,3
Deciduous,3,,1,3
Framed,3,,0,3
Grass,3,,0,3
Lake,3,,1,3
Mountains,3,,1,3
Mountain,3,,1,3
River,3,,0,3
Rocks,3,,0,3
Snow,3,,0,3
Trees,3,,1,3
Tree,3,,1,3
Winter,3,,0,3
Bushes,3,,0,3
Cabin,3,,0,3
Clouds,3,,1,3
Conifer,3,,1,3
Cumulus,3,,1,3
Deciduous,3,,1,3
Framed,3,,0,3
Grass,3,,0,3
Lake,3,,1,3
Mountains,3,,0,3
Mountain,3,,1,3
River,3,,0,3
Rocks,3,,0,3
Snow,3,,0,3
Trees,3,,1,3
Tree,3,,1,3
Winter,3,,0,3
Bushes,4,,0,4
Cabin,4,,1,4
Clouds,4,,0,4
Conifer,4,,1,4
Cumulus,4,,0,4
Deciduous,4,,0,4
Framed,4,,0,4
Grass,4,,0,4
Lake,4,,1,4
Mountains,4,,0,4
Mountain,4,,0,4
River,4,,0,4
Rocks,4,,0,4
Snow,4,,1,4
Trees,4,,1,4
Tree,4,,1,4
Winter,4,,1,4
Bushes,4,,1,4
Cabin,4,,0,4
Clouds,4,,1,4
Conifer,4,,0,4
Cumulus,4,,1,4
Deciduous,4,,1,4
Framed,4,,0,4
Grass,4,,1,4
Lake,4,,1,4
Mountains,4,,1,4
Mountain,4,,1,4
River,4,,0,4
Rocks,4,,0,4
Snow,4,,0,4
Trees,4,,1,4
Tree,4,,1,4
Winter,4,,0,4
Bushes,4,,1,4
Cabin,4,,0,4
Clouds,4,,0,4
Conifer,4,,1,4
Cumulus,4,,0,4
Deciduous,4,,0,4
Framed,4,,0,4
Grass,4,,1,4
Lake,4,,0,4
Mountains,4,,1,4
Mountain,4,,1,4
River,4,,0,4
Rocks,4,,0,4
Snow,4,,0,4
Trees,4,,1,4
Tree,4,,1,4
Winter,4,,0,4
Bushes,4,,0,4
Cabin,4,,1,4
Clouds,4,,1,4
Conifer,4,,1,4
Cumulus,4,,1,4
Deciduous,4,,1,4
Framed,4,,1,4
Grass,4,,0,4
Lake,4,,1,4
Mountains,4,,0,4
Mountain,4,,0,4
River,4,,0,4
Rocks,4,,0,4
Snow,4,,1,4
Trees,4,,1,4
Tree,4,,1,4
Winter,4,,1,4
Bushes,4,,0,4
Cabin,4,,0,4
Clouds,4,,1,4
Conifer,4,,1,4
Cumulus,4,,1,4
Deciduous,4,,0,4
Framed,4,,0,4
Grass,4,,0,4
Lake,4,,0,4
Mountains,4,,0,4
Mountain,4,,0,4
River,4,,0,4
Rocks,4,,1,4
Snow,4,,0,4
Trees,4,,1,4
Tree,4,,1,4
Winter,4,,0,4
Bushes,4,,1,4
Cabin,4,,0,4
Clouds,4,,0,4
Conifer,4,,0,4
Cumulus,4,,0,4
Deciduous,4,,1,4
Framed,4,,0,4
Grass,4,,0,4
Lake,4,,1,4
Mountains,4,,0,4
Mountain,4,,0,4
River,4,,0,4
Rocks,4,,0,4
Snow,4,,0,4
Trees,4,,1,4
Tree,4,,1,4
Winter,4,,0,4
Bushes,4,,0,4
Cabin,4,,1,4
Clouds,4,,0,4
Conifer,4,,0,4
Cumulus,4,,0,4
Deciduous,4,,1,4
Framed,4,,0,4
Grass,4,,1,4
Lake,4,,0,4
Mountains,4,,0,4
Mountain,4,,0,4
River,4,,0,4
Rocks,4,,0,4
Snow,4,,0,4
Trees,4,,1,4
Tree,4,,1,4
Winter,4,,0,4
Bushes,4,,0,4
Cabin,4,,0,4
Clouds,4,,0,4
Conifer,4,,1,4
Cumulus,4,,0,4
Deciduous,4,,1,4
Framed,4,,0,4
Grass,4,,1,4
Lake,4,,1,4
Mountains,4,,0,4
Mountain,4,,0,4
River,4,,0,4
Rocks,4,,0,4
Snow,4,,0,4
Trees,4,,1,4
Tree,4,,1,4
Winter,4,,0,4
Bushes,4,,1,4
Cabin,4,,0,4
Clouds,4,,1,4
Conifer,4,,1,4
Cumulus,4,,0,4
Deciduous,4,,0,4
Framed,4,,0,4
Grass,4,,0,4
Lake,4,,1,4
Mountains,4,,1,4
Mountain,4,,1,4
River,4,,0,4
Rocks,4,,0,4
Snow,4,,0,4
Trees,4,,1,4
Tree,4,,1,4
Winter,4,,0,4
Bushes,4,,1,4
Cabin,4,,0,4
Clouds,4,,0,4
Conifer,4,,1,4
Cumulus,4,,0,4
Deciduous,4,,0,4
Framed,4,,0,4
Grass,4,,1,4
Lake,4,,0,4
Mountains,4,,0,4
Mountain,4,,0,4
River,4,,1,4
Rocks,4,,0,4
Snow,4,,0,4
Trees,4,,1,4
Tree,4,,1,4
Winter,4,,0,4
Bushes,4,,0,4
Cabin,4,,0,4
Clouds,4,,1,4
Conifer,4,,1,4
Cumulus,4,,1,4
Deciduous,4,,0,4
Framed,4,,0,4
Grass,4,,0,4
Lake,4,,0,4
Mountains,4,,1,4
Mountain,4,,1,4
River,4,,0,4
Rocks,4,,0,4
Snow,4,,0,4
Trees,4,,1,4
Tree,4,,1,4
Winter,4,,0,4
Bushes,4,,0,4
Cabin,4,,0,4
Clouds,4,,0,4
Conifer,4,,0,4
Cumulus,4,,0,4
Deciduous,4,,1,4
Framed,4,,0,4
Grass,4,,1,4
Lake,4,,1,4
Mountains,4,,0,4
Mountain,4,,0,4
River,4,,0,4
Rocks,4,,0,4
Snow,4,,0,4
Trees,4,,1,4
Tree,4,,1,4
Winter,4,,0,4
Bushes,4,,0,4
Cabin,4,,0,4
Clouds,4,,0,4
Conifer,4,,1,4
Cumulus,4,,0,4
Deciduous,4,,0,4
Framed,4,,0,4
Grass,4,,1,4
Lake,4,,1,4
Mountains,4,,0,4
Mountain,4,,1,4
River,4,,0,4
Rocks,4,,0,4
Snow,4,,0,4
Trees,4,,0,4
Tree,4,,1,4
Winter,4,,0,4
Bushes,5,,1,5
Cabin,5,,0,5
Clouds,5,,1,5
Conifer,5,,1,5
Cumulus,5,,1,5
Deciduous,5,,0,5
Framed,5,,0,5
Grass,5,,0,5
Lake,5,,1,5
Mountains,5,,1,5
Mountain,5,,1,5
River,5,,0,5
Rocks,5,,0,5
Snow,5,,0,5
Trees,5,,1,5
Tree,5,,1,5
Winter,5,,0,5
Bushes,5,,0,5
Cabin,5,,0,5
Clouds,5,,1,5
Conifer,5,,0,5
Cumulus,5,,1,5
Deciduous,5,,1,5
Framed,5,,0,5
Grass,5,,1,5
Lake,5,,1,5
Mountains,5,,0,5
Mountain,5,,0,5
River,5,,0,5
Rocks,5,,0,5
Snow,5,,0,5
Trees,5,,1,5
Tree,5,,1,5
Winter,5,,0,5
Bushes,5,,0,5
Cabin,5,,0,5
Clouds,5,,0,5
Conifer,5,,1,5
Cumulus,5,,0,5
Deciduous,5,,0,5
Framed,5,,0,5
Grass,5,,0,5
Lake,5,,0,5
Mountains,5,,1,5
Mountain,5,,1,5
River,5,,0,5
Rocks,5,,0,5
Snow,5,,1,5
Trees,5,,1,5
Tree,5,,1,5
Winter,5,,0,5
Bushes,5,,0,5
Cabin,5,,0,5
Clouds,5,,0,5
Conifer,5,,1,5
Cumulus,5,,0,5
Deciduous,5,,1,5
Framed,5,,0,5
Grass,5,,0,5
Lake,5,,1,5
Mountains,5,,0,5
Mountain,5,,0,5
River,5,,0,5
Rocks,5,,0,5
Snow,5,,1,5
Trees,5,,1,5
Tree,5,,1,5
Winter,5,,1,5
Bushes,5,,0,5
Cabin,5,,0,5
Clouds,5,,0,5
Conifer,5,,0,5
Cumulus,5,,0,5
Deciduous,5,,1,5
Framed,5,,0,5
Grass,5,,1,5
Lake,5,,1,5
Mountains,5,,0,5
Mountain,5,,0,5
River,5,,0,5
Rocks,5,,0,5
Snow,5,,0,5
Trees,5,,1,5
Tree,5,,1,5
Winter,5,,0,5
Bushes,5,,0,5
Cabin,5,,0,5
Clouds,5,,1,5
Conifer,5,,0,5
Cumulus,5,,0,5
Deciduous,5,,0,5
Framed,5,,0,5
Grass,5,,1,5
Lake,5,,0,5
Mountains,5,,0,5
Mountain,5,,0,5
River,5,,0,5
Rocks,5,,0,5
Snow,5,,0,5
Trees,5,,0,5
Tree,5,,0,5
Winter,5,,0,5
Bushes,5,,0,5
Cabin,5,,0,5
Clouds,5,,0,5
Conifer,5,,0,5
Cumulus,5,,0,5
Deciduous,5,,1,5
Framed,5,,0,5
Grass,5,,1,5
Lake,5,,0,5
Mountains,5,,0,5
Mountain,5,,0,5
River,5,,1,5
Rocks,5,,1,5
Snow,5,,0,5
Trees,5,,1,5
Tree,5,,1,5
Winter,5,,0,5
Bushes,5,,0,5
Cabin,5,,0,5
Clouds,5,,0,5
Conifer,5,,0,5
Cumulus,5,,0,5
Deciduous,5,,1,5
Framed,5,,0,5
Grass,5,,1,5
Lake,5,,0,5
Mountains,5,,1,5
Mountain,5,,1,5
River,5,,1,5
Rocks,5,,0,5
Snow,5,,0,5
Trees,5,,1,5
Tree,5,,1,5
Winter,5,,0,5
Bushes,5,,0,5
Cabin,5,,0,5
Clouds,5,,0,5
Conifer,5,,0,5
Cumulus,5,,0,5
Deciduous,5,,0,5
Framed,5,,0,5
Grass,5,,0,5
Lake,5,,0,5
Mountains,5,,0,5
Mountain,5,,0,5
River,5,,0,5
Rocks,5,,0,5
Snow,5,,0,5
Trees,5,,0,5
Tree,5,,0,5
Winter,5,,0,5
Bushes,5,,0,5
Cabin,5,,0,5
Clouds,5,,1,5
Conifer,5,,0,5
Cumulus,5,,0,5
Deciduous,5,,1,5
Framed,5,,0,5
Grass,5,,0,5
Lake,5,,0,5
Mountains,5,,0,5
Mountain,5,,0,5
River,5,,0,5
Rocks,5,,0,5
Snow,5,,0,5
Trees,5,,0,5
Tree,5,,1,5
Winter,5,,0,5
Bushes,5,,1,5
Cabin,5,,0,5
Clouds,5,,1,5
Conifer,5,,0,5
Cumulus,5,,1,5
Deciduous,5,,1,5
Framed,5,,0,5
Grass,5,,1,5
Lake,5,,1,5
Mountains,5,,0,5
Mountain,5,,1,5
River,5,,0,5
Rocks,5,,1,5
Snow,5,,0,5
Trees,5,,1,5
Tree,5,,1,5
Winter,5,,0,5
Bushes,5,,0,5
Cabin,5,,0,5
Clouds,5,,0,5
Conifer,5,,0,5
Cumulus,5,,0,5
Deciduous,5,,0,5
Framed,5,,0,5
Grass,5,,0,5
Lake,5,,0,5
Mountains,5,,0,5
Mountain,5,,0,5
River,5,,0,5
Rocks,5,,0,5
Snow,5,,0,5
Trees,5,,0,5
Tree,5,,0,5
Winter,5,,0,5
Bushes,5,,0,5
Cabin,5,,0,5
Clouds,5,,1,5
Conifer,5,,0,5
Cumulus,5,,0,5
Deciduous,5,,1,5
Framed,5,,0,5
Grass,5,,1,5
Lake,5,,0,5
Mountains,5,,0,5
Mountain,5,,0,5
River,5,,1,5
Rocks,5,,1,5
Snow,5,,0,5
Trees,5,,1,5
Tree,5,,1,5
Winter,5,,0,5
Bushes,6,,1,6
Cabin,6,,0,6
Clouds,6,,0,6
Conifer,6,,1,6
Cumulus,6,,0,6
Deciduous,6,,1,6
Framed,6,,0,6
Grass,6,,1,6
Lake,6,,0,6
Mountains,6,,0,6
Mountain,6,,0,6
River,6,,1,6
Rocks,6,,0,6
Snow,6,,0,6
Trees,6,,1,6
Tree,6,,1,6
Winter,6,,0,6
Bushes,6,,1,6
Cabin,6,,1,6
Clouds,6,,1,6
Conifer,6,,0,6
Cumulus,6,,0,6
Deciduous,6,,1,6
Framed,6,,0,6
Grass,6,,1,6
Lake,6,,1,6
Mountains,6,,0,6
Mountain,6,,0,6
River,6,,0,6
Rocks,6,,0,6
Snow,6,,0,6
Trees,6,,1,6
Tree,6,,1,6
Winter,6,,0,6
Bushes,6,,0,6
Cabin,6,,0,6
Clouds,6,,1,6
Conifer,6,,1,6
Cumulus,6,,0,6
Deciduous,6,,0,6
Framed,6,,0,6
Grass,6,,0,6
Lake,6,,1,6
Mountains,6,,0,6
Mountain,6,,1,6
River,6,,0,6
Rocks,6,,0,6
Snow,6,,0,6
Trees,6,,1,6
Tree,6,,1,6
Winter,6,,0,6
Bushes,6,,0,6
Cabin,6,,0,6
Clouds,6,,0,6
Conifer,6,,0,6
Cumulus,6,,0,6
Deciduous,6,,1,6
Framed,6,,0,6
Grass,6,,1,6
Lake,6,,0,6
Mountains,6,,0,6
Mountain,6,,0,6
River,6,,1,6
Rocks,6,,1,6
Snow,6,,0,6
Trees,6,,1,6
Tree,6,,1,6
Winter,6,,0,6
Bushes,6,,1,6
Cabin,6,,0,6
Clouds,6,,0,6
Conifer,6,,0,6
Cumulus,6,,0,6
Deciduous,6,,1,6
Framed,6,,0,6
Grass,6,,0,6
Lake,6,,0,6
Mountains,6,,0,6
Mountain,6,,0,6
River,6,,1,6
Rocks,6,,0,6
Snow,6,,0,6
Trees,6,,1,6
Tree,6,,1,6
Winter,6,,0,6
Bushes,6,,0,6
Cabin,6,,0,6
Clouds,6,,1,6
Conifer,6,,1,6
Cumulus,6,,1,6
Deciduous,6,,0,6
Framed,6,,0,6
Grass,6,,1,6
Lake,6,,0,6
Mountains,6,,0,6
Mountain,6,,0,6
River,6,,0,6
Rocks,6,,0,6
Snow,6,,1,6
Trees,6,,1,6
Tree,6,,1,6
Winter,6,,0,6
Bushes,6,,0,6
Cabin,6,,0,6
